Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Intratrunk Coordination During High-Effort Treadmill Running in Individuals With Spinal Fusion for Adolescent Idiopathic Scoliosis.","/pubmed/28657839","Li Y, Kakar RS, Walker MA, Fu YC, Oswald TS, Brown CN, Simpson KJ.","J Appl Biomech. 2017 Dec 1;33(6):437-445. doi: 10.1123/jab.2017-0085. Epub 2017 Oct 30.","J Appl Biomech.  2017","PubMed","citation","PMID:28657839","pubmed","28657839","create date:2017/06/29 | first author:Li Y",
"Fear of falling and gait parameters in older adults with and without fall history.","/pubmed/28656737","Makino K, Makizako H, Doi T, Tsutsumimoto K, Hotta R, Nakakubo S, Suzuki T, Shimada H.","Geriatr Gerontol Int. 2017 Dec;17(12):2455-2459. doi: 10.1111/ggi.13102. Epub 2017 Jun 28.","Geriatr Gerontol Int.  2017","PubMed","citation","PMID:28656737","pubmed","28656737","create date:2017/06/29 | first author:Makino K",
"Evaluation of a self-regulation based psycho-educational pilot intervention targeting children and adolescents with epilepsy in Greece.","/pubmed/28654856","Rizou I, De Gucht V, Papavasiliou A, Maes S.","Seizure. 2017 Aug;50:137-143. doi: 10.1016/j.seizure.2017.06.014. Epub 2017 Jun 21.","Seizure.  2017","PubMed","citation","PMID:28654856","pubmed","28654856","create date:2017/06/28 | first author:Rizou I",
"A Comparison of Clinical Outcome Between Athletes and Nonathletes Undergoing Hip Arthroscopy for Femoroacetabular Impingement.","/pubmed/28653964","Murata Y, Uchida S, Utsunomiya H, Hatakeyama A, Nakamura E, Sakai A.","Clin J Sport Med. 2017 Jul;27(4):349-356. doi: 10.1097/JSM.0000000000000367.","Clin J Sport Med.  2017","PubMed","citation","PMID:28653964","pubmed","28653964","create date:2017/06/28 | first author:Murata Y",
"Post-traumatic headache in patients with minimal traumatic intracranial hemorrhage after traumatic brain injury: a retrospective matched case-control study.","/pubmed/28653247","Hong CK, Shim YS, Sim SY, Joo JY, Kwon MA, Kim YB, Chung J.","J Headache Pain. 2017 Dec;18(1):64. doi: 10.1186/s10194-017-0774-6. Epub 2017 Jun 26.","J Headache Pain.  2017","PubMed","citation","PMID:28653247 | PMCID:PMC5484651","pubmed","28653247","create date:2017/06/28 | first author:Hong CK",
"A Community-Based Physical Activity Counselling Program for People With Knee Osteoarthritis: Feasibility and Preliminary Efficacy of the Track-OA Study.","/pubmed/28652228","Li LC, Sayre EC, Xie H, Clayton C, Feehan LM.","JMIR Mhealth Uhealth. 2017 Jun 26;5(6):e86. doi: 10.2196/mhealth.7863.","JMIR Mhealth Uhealth.  2017","PubMed","citation","PMID:28652228 | PMCID:PMC5504340","pubmed","28652228","create date:2017/06/28 | first author:Li LC",
"Nivolumab versus standard, single-agent therapy of investigator's choice in recurrent or metastatic squamous cell carcinoma of the head and neck (CheckMate 141): health-related quality-of-life results from a randomised, phase 3 trial.","/pubmed/28651929","Harrington KJ, Ferris RL, Blumenschein G Jr, Colevas AD, Fayette J, Licitra L, Kasper S, Even C, Vokes EE, Worden F, Saba NF, Kiyota N, Haddad R, Tahara M, Grünwald V, Shaw JW, Monga M, Lynch M, Taylor F, DeRosa M, Morrissey L, Cocks K, et al.","Lancet Oncol. 2017 Aug;18(8):1104-1115. doi: 10.1016/S1470-2045(17)30421-7. Epub 2017 Jun 23.","Lancet Oncol.  2017","PubMed","citation","PMID:28651929 | PMCID:PMC6461049","pubmed","28651929","create date:2017/06/28 | first author:Harrington KJ",
"Gender and social mobility modify the effect of birth weight on total and central obesity.","/pubmed/28651584","Bernardi JR, Goldani MZ, Pinheiro TV, Guimarães LSP, Bettiol H, da Silva AAM, Barbieri MA.","Nutr J. 2017 Jun 26;16(1):38. doi: 10.1186/s12937-017-0260-7.","Nutr J.  2017","PubMed","citation","PMID:28651584 | PMCID:PMC5485694","pubmed","28651584","create date:2017/06/28 | first author:Bernardi JR",
"Similarities and Differences between Individuals Seeking Treatment for Gambling Problems vs. Alcohol and Substance Use Problems in Relation to the Progressive Model of Self-stigma.","/pubmed/28649212","Gavriel-Fried B, Rabayov T.","Front Psychol. 2017 Jun 9;8:957. doi: 10.3389/fpsyg.2017.00957. eCollection 2017.","Front Psychol.  2017","PubMed","citation","PMID:28649212 | PMCID:PMC5465273","pubmed","28649212","create date:2017/06/27 | first author:Gavriel-Fried B",
"Effect of heart failure reversal treatment as add-on therapy in patients with chronic heart failure: A randomized, open-label study.","/pubmed/28648417","Sane R, Aklujkar A, Patil A, Mandole R.","Indian Heart J. 2017 May - Jun;69(3):299-304. doi: 10.1016/j.ihj.2016.10.012. Epub 2016 Nov 18.","Indian Heart J.  2017","PubMed","citation","PMID:28648417 | PMCID:PMC5485380","pubmed","28648417","create date:2017/06/27 | first author:Sane R",
"The effects of high intensity interval training on muscle size and quality in overweight and obese adults.","/pubmed/28647284","Blue MNM, Smith-Ryan AE, Trexler ET, Hirsch KR.","J Sci Med Sport. 2018 Feb;21(2):207-212. doi: 10.1016/j.jsams.2017.06.001. Epub 2017 Jun 8.","J Sci Med Sport.  2018","PubMed","citation","PMID:28647284","pubmed","28647284","create date:2017/06/26 | first author:Blue MNM",
"Trends in admission rates and in-hospital stay for venous thromboembolism.","/pubmed/28646726","Mansour S, Alotaibi G, Wu C, McMurtry MS.","Thromb Res. 2017 Aug;156:149-154. doi: 10.1016/j.thromres.2017.06.012. Epub 2017 Jun 8.","Thromb Res.  2017","PubMed","citation","PMID:28646726","pubmed","28646726","create date:2017/06/25 | first author:Mansour S",
"Post-diagnosis serum insulin-like growth factors in relation to dietary and lifestyle changes in the Prostate testing for cancer and Treatment (ProtecT) trial.","/pubmed/28646365","Er V, Biernacka K, Simpkin AJ, Martin RM, Jeffreys M, Emmett P, Gilbert R, Avery KNL, Walsh E, Davis M, Donovan JL, Neal DE, Hamdy FC, Holly JMP, Lane JA.","Cancer Causes Control. 2017 Aug;28(8):877-888. doi: 10.1007/s10552-017-0910-2. Epub 2017 Jun 23.","Cancer Causes Control.  2017","PubMed","citation","PMID:28646365 | PMCID:PMC5501895","pubmed","28646365","create date:2017/06/25 | first author:Er V",
"Effect of e-cigarette advertisements and antismoking messages on explicit and implicit attitudes towards tobacco and e-cigarette smoking in 18-65-year-olds: a randomised controlled study protocol.","/pubmed/28645957","Booth P, Albery IP, Frings D.","BMJ Open. 2017 Jun 23;7(6):e014361. doi: 10.1136/bmjopen-2016-014361.","BMJ Open.  2017","PubMed","citation","PMID:28645957 | PMCID:PMC5623370","pubmed","28645957","create date:2017/06/25 | first author:Booth P",
"The effect of zoledronic acid on type and volume of Modic changes among patients with low back pain.","/pubmed/28645291","Koivisto K, Järvinen J, Karppinen J, Haapea M, Paananen M, Kyllönen E, Tervonen O, Niinimäki J.","BMC Musculoskelet Disord. 2017 Jun 23;18(1):274. doi: 10.1186/s12891-017-1632-z.","BMC Musculoskelet Disord.  2017","PubMed","citation","PMID:28645291 | PMCID:PMC5481864","pubmed","28645291","create date:2017/06/25 | first author:Koivisto K",
"Examining effectiveness of tailorable computer-assisted therapy programmes for substance misuse: Programme usage and clinical outcomes data from Breaking Free Online.","/pubmed/28645092","Elison S, Jones A, Ward J, Davies G, Dugdale S.","Addict Behav. 2017 Nov;74:140-147. doi: 10.1016/j.addbeh.2017.05.028. Epub 2017 May 23.","Addict Behav.  2017","PubMed","citation","PMID:28645092","pubmed","28645092","create date:2017/06/24 | first author:Elison S",
"Behavioral Patterns in Adolescents Born at 23 to 25 Weeks of Gestation.","/pubmed/28642374","Samuelsson M, Holsti A, Adamsson M, Serenius F, Hägglöf B, Farooqi A.","Pediatrics. 2017 Jul;140(1). pii: e20170199. doi: 10.1542/peds.2017-0199.","Pediatrics.  2017","PubMed","citation","PMID:28642374","pubmed","28642374","create date:2017/06/24 | first author:Samuelsson M",
"Selective Breeding and Short-Term Access to a Running Wheel Alter Stride Characteristics in House Mice.","/pubmed/28636434","Claghorn GC, Thompson Z, Kay JC, Ordonez G, Hampton TG, Garland T Jr.","Physiol Biochem Zool. 2017 Sep/Oct;90(5):533-545. doi: 10.1086/692909.","Physiol Biochem Zool.  2017","PubMed","citation","PMID:28636434","pubmed","28636434","create date:2017/06/22 | first author:Claghorn GC",
"Plasminogen Activator Inhibitor-1 is Regulated Through Dietary Fat Intake and Heritability: Studies in Twins.","/pubmed/28633683","Engstler AJ, Frahnow T, Kruse M, Pfeiffer AFH, Bergheim I.","Twin Res Hum Genet. 2017 Aug;20(4):338-348. doi: 10.1017/thg.2017.36. Epub 2017 Jun 21.","Twin Res Hum Genet.  2017","PubMed","citation","PMID:28633683","pubmed","28633683","create date:2017/06/22 | first author:Engstler AJ",
"Cortical glutamate in migraine.","/pubmed/28633367","Zielman R, Wijnen JP, Webb A, Onderwater GLJ, Ronen I, Ferrari MD, Kan HE, Terwindt GM, Kruit MC.","Brain. 2017 Jul 1;140(7):1859-1871. doi: 10.1093/brain/awx130.","Brain.  2017","PubMed","citation","PMID:28633367","pubmed","28633367","create date:2017/06/22 | first author:Zielman R",
"Effect of Amblyopia Treatment on Choroidal Thickness in Children with Hyperopic Anisometropic Amblyopia.","/pubmed/28632403","Aslan Bayhan S, Bayhan HA.","Curr Eye Res. 2017 Sep;42(9):1254-1259. doi: 10.1080/02713683.2017.1315141. Epub 2017 Jun 20.","Curr Eye Res.  2017","PubMed","citation","PMID:28632403","pubmed","28632403","create date:2017/06/21 | first author:Aslan Bayhan S",
"Reducing the maternal dietary intake of indigestible and slowly absorbed short-chain carbohydrates is associated with improved infantile colic: a proof-of-concept study.","/pubmed/28631347","Iacovou M, Mulcahy EC, Truby H, Barrett JS, Gibson PR, Muir JG.","J Hum Nutr Diet. 2018 Apr;31(2):256-265. doi: 10.1111/jhn.12488. Epub 2017 Jun 20.","J Hum Nutr Diet.  2018","PubMed","citation","PMID:28631347","pubmed","28631347","create date:2017/06/21 | first author:Iacovou M",
"The HAPI 'Hip Arthroscopy Pre-habilitation Intervention' study: does pre-habilitation affect outcomes in patients undergoing hip arthroscopy for femoro-acetabular impingement?","/pubmed/28630726","Grant LF, Cooper DJ, Conroy JL.","J Hip Preserv Surg. 2017 Jan 9;4(1):85-92. doi: 10.1093/jhps/hnw046. eCollection 2017 Jan.","J Hip Preserv Surg.  2017","PubMed","citation","PMID:28630726 | PMCID:PMC5467429","pubmed","28630726","create date:2017/06/21 | first author:Grant LF",
"Differential in Maximal Aerobic Capacity by Sex in Collegiate Endurance Athletes Consuming a Marginally Low Carbohydrate Diet.","/pubmed/28628396","Baranauskas MN, Miller B, Olson JT, Boltz M, Richardson L, Juravich M, Otterstetter R.","J Am Coll Nutr. 2017 Jul;36(5):370-377. doi: 10.1080/07315724.2017.1311812. Epub 2017 Jun 19.","J Am Coll Nutr.  2017","PubMed","citation","PMID:28628396","pubmed","28628396","create date:2017/06/20 | first author:Baranauskas MN",
"[Associations between insulin resistance and three B-vitamins in European adolescents: the HELENA study].","/pubmed/28627191","Iglesia I, González-Gross M, Huybrechts I, De Miguel-Etayo P, Molnar D, Manios Y, Widhalm K, Gottrand F, Kafatos A, Marcos A, De la O Puerta A, Leclercq C, De Henauw S, Stehle P, Kersting M, Mouratidou T, Moreno LA.","Nutr Hosp. 2017 Jun 5;34(3):568-577. doi: 10.20960/nh.559.","Nutr Hosp.  2017","PubMed","citation","PMID:28627191","pubmed","28627191","create date:2017/06/20 | first author:Iglesia I",
"Exhaled breath profiles in the monitoring of loss of control and clinical recovery in asthma.","/pubmed/28626990","Brinkman P, van de Pol MA, Gerritsen MG, Bos LD, Dekker T, Smids BS, Sinha A, Majoor CJ, Sneeboer MM, Knobel HH, Vink TJ, de Jongh FH, Lutter R, Sterk PJ, Fens N.","Clin Exp Allergy. 2017 Sep;47(9):1159-1169. doi: 10.1111/cea.12965. Epub 2017 Jul 10.","Clin Exp Allergy.  2017","PubMed","citation","PMID:28626990","pubmed","28626990","create date:2017/06/20 | first author:Brinkman P",
"Cortisol stress response in post-traumatic stress disorder, panic disorder, and major depressive disorder patients.","/pubmed/28623762","Wichmann S, Kirschbaum C, Böhme C, Petrowski K.","Psychoneuroendocrinology. 2017 Sep;83:135-141. doi: 10.1016/j.psyneuen.2017.06.005. Epub 2017 Jun 10.","Psychoneuroendocrinology.  2017","PubMed","citation","PMID:28623762","pubmed","28623762","create date:2017/06/18 | first author:Wichmann S",
"Treatment of Rheumatoid Arthritis With Anti-Tumor Necrosis Factor or Tocilizumab Therapy as First Biologic Agent in a Global Comparative Observational Study.","/pubmed/28622454","Choy EH, Bernasconi C, Aassi M, Molina JF, Epis OM.","Arthritis Care Res (Hoboken). 2017 Oct;69(10):1484-1494. doi: 10.1002/acr.23303. Epub 2017 Sep 6.","Arthritis Care Res (Hoboken).  2017","PubMed","citation","PMID:28622454 | PMCID:PMC5656814","pubmed","28622454","create date:2017/06/18 | first author:Choy EH",
"The coevolution of play and the cortico-cerebellar system in primates.","/pubmed/28620843","Kerney M, Smaers JB, Schoenemann PT, Dunn JC.","Primates. 2017 Oct;58(4):485-491. doi: 10.1007/s10329-017-0615-x. Epub 2017 Jun 15.","Primates.  2017","PubMed","citation","PMID:28620843 | PMCID:PMC5622916","pubmed","28620843","create date:2017/06/18 | first author:Kerney M",
"Gender-varying associations between physical activity intensity and mental quality of life in older cancer survivors.","/pubmed/28620700","Conroy DE, Wolin KY, Blair CK, Demark-Wahnefried W.","Support Care Cancer. 2017 Nov;25(11):3465-3473. doi: 10.1007/s00520-017-3769-6. Epub 2017 Jun 15.","Support Care Cancer.  2017","PubMed","citation","PMID:28620700 | PMCID:PMC5693626","pubmed","28620700","create date:2017/06/18 | first author:Conroy DE",
"The associations between VDR BsmI polymorphisms and risk of vitamin D deficiency, obesity and insulin resistance in adolescents residing in a tropical country.","/pubmed/28617856","Rahmadhani R, Zaharan NL, Mohamed Z, Moy FM, Jalaludin MY.","PLoS One. 2017 Jun 15;12(6):e0178695. doi: 10.1371/journal.pone.0178695. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28617856 | PMCID:PMC5472260","pubmed","28617856","create date:2017/06/16 | first author:Rahmadhani R",
"Evaluation of 1-year-old children development in Isfahan City and its effective factors using ages and stages questionnaire, in 2014.","/pubmed/28616424","Rejali M, Pahlavni S, Hassanzadeh A.","J Educ Health Promot. 2017 Jun 5;6:57. doi: 10.4103/jehp.jehp_116_15. eCollection 2017.","J Educ Health Promot.  2017","PubMed","citation","PMID:28616424 | PMCID:PMC5470292","pubmed","28616424","create date:2017/06/16 | first author:Rejali M",
"Early- and late-onset preeclampsia and the DNA methylation of circadian clock and clock-controlled genes in placental and newborn tissues.","/pubmed/28613964","van den Berg CB, Chaves I, Herzog EM, Willemsen SP, van der Horst GTJ, Steegers-Theunissen RPM.","Chronobiol Int. 2017;34(7):921-932. doi: 10.1080/07420528.2017.1326125. Epub 2017 Jun 14.","Chronobiol Int.  2017","PubMed","citation","PMID:28613964","pubmed","28613964","create date:2017/06/15 | first author:van den Berg CB",
"A pilot study on the Chinese Minnesota Multiphasic Personality Inventory-2 in detecting feigned mental disorders: Simulators classified by using the Structured Interview of Reported Symptoms.","/pubmed/28613018","Chang YT, Tam WC, Shiah YJ, Chiang SK.","Psych J. 2017 Sep;6(3):175-184. doi: 10.1002/pchj.169. Epub 2017 Jun 14.","Psych J.  2017","PubMed","citation","PMID:28613018","pubmed","28613018","create date:2017/06/15 | first author:Chang YT",
"Influence of eating quickly and eating until full on anthropometric gains in girls: A population-based, longitudinal study.","/pubmed/28612455","Ochiai H, Shirasawa T, Nanri H, Nishimura R, Hoshino H, Kokaze A.","Child Care Health Dev. 2017 Nov;43(6):918-925. doi: 10.1111/cch.12482. Epub 2017 Jun 14.","Child Care Health Dev.  2017","PubMed","citation","PMID:28612455","pubmed","28612455","create date:2017/06/15 | first author:Ochiai H",
"Validation of Astropecten jarli Madsen, 1950 and implications for A. cingulatus Sladen, 1883 (Paxillosida: Astropectinidae).","/pubmed/28610341","Lawrence JM, Cobb J.","Zootaxa. 2017 May 19;4269(1):101-114. doi: 10.11646/zootaxa.4269.1.4.","Zootaxa.  2017","PubMed","citation","PMID:28610341","pubmed","28610341","create date:2017/06/15 | first author:Lawrence JM",
"Effectiveness, acceptance and satisfaction of guided chat groups in psychosocial aftercare for outpatients with prostate cancer after prostatectomy.","/pubmed/30135838","Lange L, Fink J, Bleich C, Graefen M, Schulz H.","Internet Interv. 2017 Jun 15;9:57-64. doi: 10.1016/j.invent.2017.06.001. eCollection 2017 Sep.","Internet Interv.  2017","PubMed","citation","PMID:30135838 | PMCID:PMC6096258","pubmed","30135838","create date:2017/06/15 | first author:Lange L",
"Association between menopause and lumbar disc degeneration: an MRI study of 1,566 women and 1,382 men.","/pubmed/28609385","Lou C, Chen H, Mei L, Yu W, Zhu K, Liu F, Chen Z, Xiang G, Chen M, Weng Q, He D.","Menopause. 2017 Oct;24(10):1136-1144. doi: 10.1097/GME.0000000000000902.","Menopause.  2017","PubMed","citation","PMID:28609385","pubmed","28609385","create date:2017/06/14 | first author:Lou C",
"Quality of life among survivors of early-stage cervical cancer in Taiwan: an exploration of treatment modality differences.","/pubmed/28608151","Li CC, Chang TC, Tsai YF, Chen L.","Qual Life Res. 2017 Oct;26(10):2773-2782. doi: 10.1007/s11136-017-1619-0. Epub 2017 Jun 12.","Qual Life Res.  2017","PubMed","citation","PMID:28608151","pubmed","28608151","create date:2017/06/14 | first author:Li CC",
